0,6
0,14
0,24
0,46
0,64
0,67
0,84
0,96
1,4
1,5
1,9
1,13
1,16
1,18
1,19
1,25
1,27
1,33
1,43
1,44
1,51
1,52
1,58
1,60
1,63
1,68
1,72
1,73
1,74
1,75
1,79
1,80
1,87
1,89
1,91
1,94
1,95
2,5
2,19
2,31
2,33
2,44
2,57
2,58
2,62
2,63
2,70
2,89
2,93
3,8
3,11
3,14
3,18
3,22
3,26
3,31
3,32
3,39
3,42
3,45
3,49
3,50
3,53
3,54
3,61
3,64
3,66
3,73
3,75
3,76
3,88
3,92
3,98
4,9
4,10
4,12
4,13
4,15
4,16
4,18
4,25
4,28
4,30
4,32
4,36
4,37
4,48
4,51
4,52
4,60
4,65
4,72
4,73
4,74
4,75
4,79
4,80
4,81
4,85
4,87
4,91
4,94
4,95
4,97
5,9
5,19
5,22
5,31
5,33
5,44
5,57
5,58
5,62
5,63
5,70
5,73
5,74
5,89
5,93
5,98
6,7
6,11
6,14
6,24
6,26
6,46
6,56
6,64
6,66
6,67
6,69
6,76
6,84
6,92
6,96
7,8
7,11
7,14
7,17
7,20
7,24
7,26
7,34
7,56
7,61
7,64
7,66
7,67
7,69
7,76
7,77
7,82
7,83
7,84
7,90
7,92
8,12
8,17
8,18
8,20
8,25
8,26
8,32
8,37
8,39
8,41
8,48
8,54
8,56
8,60
8,61
8,69
8,72
8,73
8,75
8,76
8,77
8,79
8,82
8,83
8,87
8,90
8,92
8,95
8,97
9,13
9,16
9,18
9,19
9,25
9,27
9,33
9,43
9,44
9,51
9,52
9,58
9,59
9,63
9,68
9,72
9,73
9,74
9,79
9,89
9,91
9,94
9,95
10,12
10,15
10,16
10,25
10,28
10,29
10,30
10,32
10,36
10,37
10,48
10,52
10,60
10,65
10,72
10,74
10,75
10,79
10,80
10,81
10,85
10,87
10,91
10,94
10,95
10,97
11,14
11,22
11,26
11,39
11,42
11,45
11,46
11,49
11,50
11,53
11,54
11,64
11,66
11,69
11,76
11,84
11,88
11,92
11,96
12,16
12,17
12,18
12,20
12,25
12,28
12,30
12,32
12,36
12,37
12,38
12,39
12,41
12,48
12,60
12,61
12,65
12,72
12,73
12,75
12,77
12,79
12,80
12,82
12,83
12,87
12,90
12,91
12,94
12,95
12,97
13,15
13,16
13,27
13,29
13,35
13,40
13,43
13,47
13,51
13,52
13,59
13,63
13,68
13,71
13,74
13,80
13,91
13,94
14,24
14,26
14,42
14,46
14,49
14,50
14,56
14,64
14,66
14,67
14,69
14,76
14,84
14,88
14,92
14,96
15,16
15,27
15,28
15,29
15,30
15,35
15,40
15,47
15,51
15,52
15,59
15,65
15,71
15,72
15,74
15,80
15,81
15,85
15,91
15,94
16,18
16,25
16,28
16,29
16,30
16,32
16,36
16,37
16,48
16,51
16,52
16,60
16,65
16,72
16,73
16,74
16,75
16,79
16,80
16,81
16,85
16,87
16,91
16,94
16,95
16,97
17,20
17,23
17,32
17,34
17,37
17,38
17,41
17,48
17,55
17,56
17,61
17,69
17,77
17,78
17,82
17,83
17,90
17,97
18,22
18,25
18,26
18,31
18,32
18,33
18,39
18,44
18,54
18,60
18,61
18,72
18,73
18,74
18,75
18,79
18,82
18,87
18,90
18,91
18,94
18,95
19,31
19,33
19,44
19,57
19,58
19,62
19,63
19,70
19,73
19,89
19,93
20,26
20,32
20,34
20,37
20,38
20,39
20,41
20,48
20,56
20,60
20,61
20,69
20,75
20,76
20,77
20,82
20,83
20,87
20,90
20,97
21,23
21,38
21,55
21,78
21,86
22,31
22,33
22,39
22,42
22,45
22,49
22,50
22,53
22,54
22,66
22,70
22,73
22,75
22,88
22,92
22,93
22,98
22,99
23,36
23,37
23,38
23,41
23,48
23,55
23,78
23,86
24,34
24,46
24,56
24,67
24,69
24,84
25,28
25,32
25,33
25,39
25,44
25,52
25,54
25,60
25,61
25,72
25,73
25,74
25,75
25,79
25,80
25,87
25,91
25,94
25,95
25,97
26,32
26,34
26,39
26,50
26,54
26,56
26,61
26,64
26,66
26,69
26,75
26,76
26,77
26,82
26,83
26,84
26,87
26,88
26,90
26,92
27,29
27,35
27,40
27,43
27,47
27,51
27,52
27,58
27,59
27,63
27,68
27,71
27,74
27,91
28,30
28,32
28,36
28,37
28,38
28,41
28,48
28,60
28,65
28,72
28,75
28,79
28,80
28,81
28,82
28,85
28,86
28,87
28,90
28,91
28,94
28,95
28,97
29,35
29,40
29,43
29,47
29,51
29,52
29,59
29,68
29,71
29,80
29,81
29,85
30,36
30,37
30,38
30,41
30,48
30,60
30,65
30,72
30,79
30,80
30,81
30,85
30,86
30,97
31,33
31,39
31,44
31,45
31,53
31,54
31,57
31,62
31,70
31,73
31,88
